"sepal_length","sepal_width","petal_length","petal_width","species"
0.222222222222222,3.5,1.4,0.2,"setosa"
0.166666666666667,3,1.4,0.2,"setosa"
0.111111111111111,3.2,1.3,0.2,"setosa"
0.0833333333333333,3.1,1.5,0.2,"setosa"
0.194444444444444,3.6,1.4,0.2,"setosa"
0.305555555555556,3.9,1.7,0.4,"setosa"
0.0833333333333333,3.4,1.4,0.3,"setosa"
0.194444444444444,3.4,1.5,0.2,"setosa"
0.0277777777777779,2.9,1.4,0.2,"setosa"
0.166666666666667,3.1,1.5,0.1,"setosa"
0.305555555555556,3.7,1.5,0.2,"setosa"
0.138888888888889,3.4,1.6,0.2,"setosa"
0.138888888888889,3,1.4,0.1,"setosa"
0,3,1.1,0.1,"setosa"
0.416666666666667,4,1.2,0.2,"setosa"
0.388888888888889,4.4,1.5,0.4,"setosa"
0.305555555555556,3.9,1.3,0.4,"setosa"
0.222222222222222,3.5,1.4,0.3,"setosa"
0.388888888888889,3.8,1.7,0.3,"setosa"
0.222222222222222,3.8,1.5,0.3,"setosa"
0.305555555555556,3.4,1.7,0.2,"setosa"
0.222222222222222,3.7,1.5,0.4,"setosa"
0.0833333333333333,3.6,1,0.2,"setosa"
0.222222222222222,3.3,1.7,0.5,"setosa"
0.138888888888889,3.4,1.9,0.2,"setosa"
0.194444444444444,3,1.6,0.2,"setosa"
0.194444444444444,3.4,1.6,0.4,"setosa"
0.25,3.5,1.5,0.2,"setosa"
0.25,3.4,1.4,0.2,"setosa"
0.111111111111111,3.2,1.6,0.2,"setosa"
0.138888888888889,3.1,1.6,0.2,"setosa"
0.305555555555556,3.4,1.5,0.4,"setosa"
0.25,4.1,1.5,0.1,"setosa"
0.333333333333333,4.2,1.4,0.2,"setosa"
0.194444444444444,3.2,1.2,0.2,"setosa"
0.333333333333333,3.5,1.3,0.2,"setosa"
0.0277777777777779,3,1.3,0.2,"setosa"
0.222222222222222,3.4,1.5,0.2,"setosa"
0.194444444444444,3.5,1.3,0.3,"setosa"
0.0555555555555556,2.3,1.3,0.3,"setosa"
0.0277777777777779,3.2,1.3,0.2,"setosa"
0.194444444444444,3.5,1.6,0.6,"setosa"
0.222222222222222,3.8,1.9,0.4,"setosa"
0.138888888888889,3,1.4,0.3,"setosa"
0.222222222222222,3.8,1.6,0.2,"setosa"
0.0833333333333333,3.2,1.4,0.2,"setosa"
0.277777777777778,3.7,1.5,0.2,"setosa"
0.194444444444444,3.3,1.4,0.2,"setosa"
0.75,3.2,4.7,1.4,"versicolor"
0.583333333333333,3.2,4.5,1.5,"versicolor"
0.722222222222222,3.1,4.9,1.5,"versicolor"
0.333333333333333,2.3,4,1.3,"versicolor"
